cr_returned_date_sk|cr_returned_time_sk|cr_item_sk|cr_refunded_customer_sk|cr_refunded_cdemo_sk|cr_refunded_hdemo_sk|cr_refunded_addr_sk|cr_returning_customer_sk|cr_returning_cdemo_sk|cr_returning_hdemo_sk|cr_returning_addr_sk|cr_call_center_sk|cr_catalog_page_sk|cr_ship_mode_sk|cr_warehouse_sk|cr_reason_sk|cr_order_number|cr_return_quantity|cr_return_amount|cr_return_tax|cr_return_amt_inc_tax|cr_fee|cr_return_ship_cost|cr_refunded_cash|cr_reversed_charge|cr_store_credit|cr_net_loss|remrk
2450926|45816|9112|18601|797995|6189|57583|18601|797995|4703|57583|8|106|2|2|13|2|47|3888.31|233.29|4121.60|91.23|1348.90|3577.24|186.64|124.43|1673.42|
2450946|74710|5684|18601|797995|6189|57583|106809|665550|991|22832|8|17|2|5|27|2|49|2490.18|99.60|2589.78|52.54|1867.39|323.72|931.57|1234.89|2019.53|
2451065|71104|4279|57383|3755|2480|45652|22311|700704|5571|4485|4|7|13|2|25|4|12|64.32|4.50|68.82|22.97|78.60|1.28|55.47|7.57|106.07|
2450954|28638|9158|32801|90299|3797|68495|39681|1168758|7154|33197|8|9|12|3|23|5|20|829.40|49.76|879.16|60.00|308.00|622.05|176.24|31.11|417.76|
2451023|44538|21112|19351|528859|5567|21122|49027|737861|54|64647|7|78|12|5|15|6|6|403.08|36.27|439.35|4.58|199.44|354.71|27.57|20.80|240.29|
2450992|10904|22660|19351|528859|5567|21122|8008|1289384|1410|65436|7|54|7|3|23|6|7|23.17|1.85|25.02|19.85|7.07|6.25|9.64|7.28|28.77|
2451016|60162|18343|49674||||114994|||44335||2||||9|3|413.94|0.00||||318.73|35.22|59.99|185.36|
2450926|30343|23392|45731|1046123|5715|18107|124927|865466|4658|2697|7|65|14|3|1|11|17|1283.67|51.34|1335.01|71.97|58.31|449.28|183.56|650.83|181.62|
2451058|53881|4258|45731|1046123|5715|18107|20053|1827904|2936|5968|7|42|11|5|34|11|9|29.79|1.19|30.98|91.16|59.67|0.00|20.85|8.94|152.02|
2451039|11891|7486|40748|83584|2773|64362|105188|1816862|2974|20286|1|11|2|1|17|12|61|2119.75|84.79|2204.54|30.32|271.45|1441.43|529.08|149.24|386.56|
