wr_returned_date_sk|wr_returned_time_sk|wr_item_sk|wr_refunded_customer_sk|wr_refunded_cdemo_sk|wr_refunded_hdemo_sk|wr_refunded_addr_sk|wr_returning_customer_sk|wr_returning_cdemo_sk|wr_returning_hdemo_sk|wr_returning_addr_sk|wr_web_page_sk|wr_reason_sk|wr_order_number|wr_return_quantity|wr_return_amt|wr_return_tax|wr_return_amt_inc_tax|wr_fee|wr_return_ship_cost|wr_refunded_cash|wr_reversed_charge|wr_account_credit|wr_net_loss|remrk
2451653|7022|10594|122224|1011635|3446|16057|122224|1011635|3446|16057|28|31|1|10|698.20|13.96|712.16|18.63|820.30|300.22|382.06|15.92|852.89|
2451627|64915|20860|55811|18405|199|22793|55811|18405|199|22793|28|12|1|47|1248.79|49.95|1298.74|61.81|709.23|262.24|128.25|858.30|820.99|
2452798||16243||31639||56790||31639|2038|56790||32|2|11||25.52|||16.72||16.36|165.47||
2452243|23325|22065|27687|663037|1234|10984|27687|663037|1234|10984|5|23|5|33|1820.94|54.62|1875.56|70.16|1000.23|1802.73|14.56|3.65|1125.01|
2452305|73981|11119|140552|1104998|2244|5090|140552|1104998|2244|5090|41|26|5|18|82.08|7.38|89.46|35.63|1342.26|38.57|19.14|24.37|1385.27|
2451288|74891|4748|8650|1309189|128|63420|8650|1309189|128|63420|40|35|7|16|1956.00|156.48|2112.48|22.56|221.76|215.16|504.84|1236.00|400.80|
2451337|44242|20959|107377|1291615|653|4891|107377|1291615|653|4891|49|7|7|3|134.40|0.00|134.40|78.06|108.78|108.86|15.06|10.48|186.84|
2451278|48347|23086|92887|1781163|3486|71762|92887|1781163|3486|71762|50|9|7|43|520.30|20.81|541.11|54.02|3468.38|504.69|14.36|1.25|3543.21|
2452098|72741|677|35559|1010209|2812|63415|35559|1010209|2812|63415|5|20|10|4|79.68|2.39|82.07|11.40|54.52|58.16|1.50|20.02|68.31|
2452065|46137|7693|46204|217410|1416|58222|46204|217410|1416|58222|13|36|11|28|707.00|28.28|735.28|16.84|382.20|424.20|248.86|33.94|427.32|
