ws_sold_date_sk|ws_sold_time_sk|ws_ship_date_sk|ws_item_sk|ws_bill_customer_sk|ws_bill_cdemo_sk|ws_bill_hdemo_sk|ws_bill_addr_sk|ws_ship_customer_sk|ws_ship_cdemo_sk|ws_ship_hdemo_sk|ws_ship_addr_sk|ws_web_page_sk|ws_web_site_sk|ws_ship_mode_sk|ws_warehouse_sk|ws_promo_sk|ws_order_number|ws_quantity|ws_wholesale_cost|ws_list_price|ws_sales_price|ws_ext_discount_amt|ws_ext_sales_price|ws_ext_wholesale_cost|ws_ext_list_price|ws_ext_tax|ws_coupon_amt|ws_ext_ship_cost|ws_net_paid|ws_net_paid_inc_tax|ws_net_paid_inc_ship|ws_net_paid_inc_ship_tax|ws_net_profit|remark
2451383|73313|2451482|13801|91074|596485|1096|56907|1919|41329|1140|35351|22|4|4|5|288|1|57|33.59|59.45|38.04|1220.37|2168.28|1914.63|3388.65|50.95|1149.18|575.70|1019.10|1070.05|1594.80|1645.75|-895.53|
2451383|73313|2451411|4700|91074|596485|1096|56907|1919|41329|1140|35351|73|7|3|2|71|1|38|29.83|48.92|26.41|855.38|1003.58|1133.54|1858.96|30.10|0.00|910.86|1003.58|1033.68|1914.44|1944.54|-129.96|
2451383|73313|2451413|19418|91074|596485|1096|56907|1919|41329|1140|35351|26|28|10|5|152|1|32|49.72|107.89|97.10|345.28|3107.20|1591.04|3452.48|124.28|0.00|828.48|3107.20|3231.48|3935.68|4059.96|1516.16|
2451383|73313|2451393|19048|91074|596485|1096|56907|1919|41329|1140|35351|67|7|6|1|95|1|65|69.18|112.07|22.41|5827.90|1456.65|4496.70|7284.55|29.13|0.00|2476.50|1456.65|1485.78|3933.15|3962.28|-3040.05|
2451383|73313|2451502|12595|91074|596485|1096|56907|1919|41329|1140|35351|40|16|2|5|26|1|58|36.62|41.38|16.13|1464.50|935.54|2123.96|2400.04|84.19|0.00|167.62|935.54|1019.73|1103.16|1187.35|-1188.42|
2451383|73313|2451421|5605|91074|596485|1096|56907|1919|41329|1140|35351|43|7|2|2|237|1|90|72.05|161.39|27.43|12056.40|2468.70|6484.50|14525.10|74.06|0.00|4647.60|2468.70|2542.76|7116.30|7190.36|-4015.80|
2451383|73313|2451457|10594|91074|596485|1096|56907|1919|41329|1140|35351|28|16|16|3|45|1|15|83.92|174.55|69.82|1570.95|1047.30|1258.80|2618.25|20.94|0.00|392.70|1047.30|1068.24|1440.00|1460.94|-211.50|
2451383|73313|2451430|10172|91074|596485|1096|56907|1919|41329|1140|35351|68|19|14|3|290|1|16|45.27|128.56|68.13|966.88|1090.08|724.32|2056.96|87.20|0.00|370.24|1090.08|1177.28|1460.32|1547.52|365.76|
2451383|73313|2451458|20860|91074|596485|1096|56907|1919|41329|1140|35351|28|26|8|5|37|1|54|53.45|60.39|26.57|1826.28|1434.78|2886.30|3261.06|48.78|215.21|488.70|1219.57|1268.35|1708.27|1757.05|-1666.73|
2452625|34964|2452702|25521|130296|436090|2684|25278|129428|1487225|3907|40901|66|13|16|3|77|2|47|49.64|68.99|12.41|2659.26|583.27|2333.08|3242.53|52.49|0.00|1134.58|583.27|635.76|1717.85|1770.34|-1749.81|
2452625|34964|2452638|16879|130296|436090|2684|25278|129428|1487225|3907|40901|69|13|16|2|265|2|12|7.24|12.16|11.91|3.00|142.92|86.88|145.92|10.00|0.00|29.16|142.92|152.92|172.08|182.08|56.04|
2452625|34964|2452645|7651|130296|436090|2684|25278|129428|1487225|3907|40901|12|21|7|5|258|2|6|45.21|67.36|30.31|222.30|181.86|271.26|404.16|16.36|0.00|185.88|181.86|198.22|367.74|384.10|-89.40|
2452625|34964|2452690|14190|130296|436090|2684|25278|129428|1487225|3907|40901|54|12|3|5|97|2|43|9.62|13.08|9.02|174.58|387.86|413.66|562.44|19.39|0.00|117.82|387.86|407.25|505.68|525.07|-25.80|
2452625|34964|2452707|19509|130296|436090|2684|25278|129428|1487225|3907|40901|37|19|1|2|97|2|57|35.95|62.55|43.78|1069.89|2495.46|2049.15|3565.35|224.59|0.00|962.16|2495.46|2720.05|3457.62|3682.21|446.31|
2452625|34964|2452640|16243|130296|436090|2684|25278|129428|1487225|3907|40901|45|21|6|4|180|2|93|65.80|152.65|29.00|11499.45|2697.00|6119.40|14196.45|215.76|0.00|7097.76|2697.00|2912.76|9794.76|10010.52|-3422.40|
2452625|34964|2452634|5695|130296|436090|2684|25278|129428|1487225|3907|40901|57|3|18|2|20|2|93|55.42|127.46|1.27|11735.67|118.11|5154.06|11853.78|4.72|0.00|1421.97|118.11|122.83|1540.08|1544.80|-5035.95|
2452625|34964|2452734|23257|130296|436090|2684|25278|129428|1487225|3907|40901|66|27|3|2|74|2|82|48.65|91.94|8.27|6860.94|678.14|3989.30|7539.08|13.56|0.00|2788.82|678.14|691.70|3466.96|3480.52|-3311.16|
2452625|34964|2452739|20283|130296|436090|2684|25278|129428|1487225|3907|40901|51|3|9|4|199|2|33|80.23|90.65|55.29|1166.88|1824.57|2647.59|2991.45|0.00|0.00|478.50|1824.57|1824.57|2303.07|2303.07|-823.02|
2451754|1529|2451801|21223|142800|1219525|3450|63375|124180|293885|5550|29475|68|8|2|2|293|3|65|5.37|10.31|2.06|536.25|133.90|349.05|670.15|7.47|9.37|26.65|124.53|132.00|151.18|158.65|-224.52|
2451754|1529|2451791|25472|142800|1219525|3450|63375|124180|293885|5550|29475|32|25|9|5|289|3|74|74.66|83.61|52.67|2289.56|3897.58|5524.84|6187.14|116.92|0.00|1546.60|3897.58|4014.50|5444.18|5561.10|-1627.26|
2451754|1529|2451814|17699|142800|1219525|3450|63375|124180|293885|5550|29475|41|26|3|4|110|3|26|77.15|198.27|109.04|2319.98|2835.04|2005.90|5155.02|36.28|2381.43|206.18|453.61|489.89|659.79|696.07|-1552.29|
2451754|1529|2451765|21686|142800|1219525|3450|63375|124180|293885|5550|29475|71|7|3|5|209|3|25|99.00|292.05|262.84|730.25|6571.00|2475.00|7301.25|65.71|0.00|3285.50|6571.00|6636.71|9856.50|9922.21|4096.00|
2451754|1529|2451855|20351|142800|1219525|3450|63375|124180|293885|5550|29475|26|14|7|4|272|3|80|14.55|42.34|27.09|1220.00|2167.20|1164.00|3387.20|43.34|0.00|609.60|2167.20|2210.54|2776.80|2820.14|1003.20|
2451754|1529|2451862|15029|142800|1219525|3450|63375|124180|293885|5550|29475|44|2|13|4|243|3|54|64.58|160.80|120.60|2170.80|6512.40|3487.32|8683.20|586.11|0.00|3646.62|6512.40|7098.51|10159.02|10745.13|3025.08|
2451754|1529|2451809|17819|142800|1219525|3450|63375|124180|293885|5550|29475|23|17|20|1|68|3|30|54.81|81.11|22.71|1752.00|681.30|1644.30|2433.30|6.81|0.00|0.00|681.30|688.11|681.30|688.11|-963.00|
2451754|1529|2451782|2869|142800|1219525|3450|63375|124180|293885|5550|29475|32|26|6|3|36|3|19|87.13|170.77|155.40|292.03|2952.60|1655.47|3244.63|88.57|0.00|486.59|2952.60|3041.17|3439.19|3527.76|1297.13|
2451754|1529|2451760|7775|142800|1219525|3450|63375|124180|293885|5550|29475|53|11|16|4|16|3|29|86.36|90.67|68.90|631.33|1998.10|2504.44|2629.43|159.84|0.00|236.64|1998.10|2157.94|2234.74|2394.58|-506.34|
2451754|1529|2451812|18326|142800|1219525|3450|63375|124180|293885|5550|29475|71|26|4|4|153|3|2|4.21|10.90|0.54|20.72|1.08|8.42|21.80|0.07|0.00|5.88|1.08|1.15|6.96|7.03|-7.34|
2451754|1529|2451846|22285|142800|1219525|3450|63375|124180|293885|5550|29475|65|11|18|2|79|3|42|56.94|107.04|102.75|180.18|4315.50|2391.48|4495.68|43.15|0.00|1708.14|4315.50|4358.65|6023.64|6066.79|1924.02|
2451754|1529|2451858|23633|142800|1219525|3450|63375|124180|293885|5550|29475|55|14|12|1|192|3|91|88.66|242.04|183.95|5286.19|16739.45|8068.06|22025.64|502.18|0.00|0.00|16739.45|17241.63|16739.45|17241.63|8671.39|
2451754|1529|2451758|19675|142800|1219525|3450|63375|124180|293885|5550|29475|35|29|15|3|130|3|10|32.29|45.85|30.71|151.40|307.10|322.90|458.50|0.61|276.39|137.50|30.71|31.32|168.21|168.82|-292.19|
2451754|1529|2451801|15512|142800|1219525|3450|63375|124180|293885|5550|29475|67|1|18|5|167|3|1|66.29|174.34|137.72|36.62|137.72|66.29|174.34|4.62|71.61|45.32|66.11|70.73|111.43|116.05|-0.18|
2451754|1529|2451763|6133|142800|1219525|3450|63375|124180|293885|5550|29475|31|5|19|5|162|3|7|66.22|145.68|144.22|10.22|1009.54|463.54|1019.76|80.76|0.00|193.69|1009.54|1090.30|1203.23|1283.99|546.00|
2451754|1529|2451807|22187|142800|1219525|3450|63375|124180|293885|5550|29475|11|25|2|3|297|3|10|87.53|150.55|58.71|918.40|587.10|875.30|1505.50|27.12|135.03|316.10|452.07|479.19|768.17|795.29|-423.23|
2451483|77832|2451501|10273|141187|512359|4331|57456|71757|1249940|2525|45697|26|13|11|3|284|4|83|4.36|10.15|4.66|455.67|386.78|361.88|842.45|27.07|0.00|151.06|386.78|413.85|537.84|564.91|24.90|
2451483|77832|2451554|13508|141187|512359|4331|57456|71757|1249940|2525|45697|56|10|4|4|322|4|20|71.90|103.53|85.92|352.20|1718.40|1438.00|2070.60|154.65|0.00|227.60|1718.40|1873.05|1946.00|2100.65|280.40|
2451483|77832|2451542|367|141187|512359|4331|57456|71757|1249940|2525|45697|62|20|12|5|189|4|26|81.47|126.27|27.77|2561.00|722.02|2118.22|3283.02|50.54|0.00|1411.54|722.02|772.56|2133.56|2184.10|-1396.20|
2451483|77832|2451563|15062|141187|512359|4331|57456|71757|1249940|2525|45697|28|22|12|2|265|4|32|30.81|40.05|22.02|576.96|704.64|985.92|1281.60|35.23|0.00|358.72|704.64|739.87|1063.36|1098.59|-281.28|
2451483|77832|2451593|19010|141187|512359|4331|57456|71757|1249940|2525|45697|43|8|2|1|275|4|44|68.96|143.43|61.67|3597.44|2713.48|3034.24|6310.92|135.67|0.00|0.00|2713.48|2849.15|2713.48|2849.15|-320.76|
2451483|77832|2451487|9920|141187|512359|4331|57456|71757|1249940|2525|45697|34|4|12|1|224|4|41|6.21|11.92|1.31|435.01|53.71|254.61|488.72|3.75|0.00|190.24|53.71|57.46|243.95|247.70|-200.90|
2451483|77832|2451487|14476|141187|512359|4331|57456|71757|1249940|2525|45697|64|2|2|5|89|4|22|71.63|113.89|69.47|977.24|1528.34|1575.86|2505.58|137.55|0.00|1077.34|1528.34|1665.89|2605.68|2743.23|-47.52|
2451483|77832|2451569|4808|141187|512359|4331|57456|71757|1249940|2525|45697|49|16|11|5|250|4|51|43.92|94.86|52.17|2177.19|2660.67|2239.92|4837.86|102.17|106.42|1209.21|2554.25|2656.42|3763.46|3865.63|314.33|
2451483|77832|2451536|11266|141187|512359|4331|57456|71757|1249940|2525|45697|73|26|20|3|67|4|50|15.41|17.41|6.26|557.50|313.00|770.50|870.50|9.20|159.63|330.50|153.37|162.57|483.87|493.07|-617.13|
2451483|77832|2451521|1582|141187|512359|4331|57456|71757|1249940|2525|45697|26|25|6|2|91|4|65|34.29|75.43|18.10|3726.45|1176.50|2228.85|4902.95|70.59|0.00|1176.50|1176.50|1247.09|2353.00|2423.59|-1052.35|
2451483|77832|2451518|23437|141187|512359|4331|57456|71757|1249940|2525|45697|22|13|3|1|173|4|37|35.86|89.29|0.00|3303.73|0.00|1326.82|3303.73|0.00|0.00|1090.02|0.00|0.00|1090.02|1090.02|-1326.82|
2451945|25492|2451977|24027|102395|1553493|1391|66089|66505|1123302|983|65681|15|1|6|1|134|5|57|69.75|192.51|102.03|5157.36|5815.71|3975.75|10973.07|174.47|0.00|2633.40|5815.71|5990.18|8449.11|8623.58|1839.96|
2451945|25492|2451960|25485|102395|1553493|1391|66089|66505|1123302|983|65681|43|17|20|1|52|5|50|42.11|58.95|46.57|619.00|2328.50|2105.50|2947.50|162.99|0.00|58.50|2328.50|2491.49|2387.00|2549.99|223.00|
2451945|25492|2452011|22065|102395|1553493|1391|66089|66505|1123302|983|65681|5|5|1|2|306|5|89|70.02|77.72|55.18|2006.06|4911.02|6231.78|6917.08|147.33|0.00|2766.12|4911.02|5058.35|7677.14|7824.47|-1320.76|
2451945|25492|2451956|19621|102395|1553493|1391|66089|66505|1123302|983|65681|29|9|19|3|46|5|69|21.00|24.36|13.64|739.68|941.16|1449.00|1680.84|9.41|0.00|487.14|941.16|950.57|1428.30|1437.71|-507.84|
2451945|25492|2451954|10505|102395|1553493|1391|66089|66505|1123302|983|65681|37|27|16|5|194|5|26|26.29|28.65|18.33|268.32|476.58|683.54|744.90|33.36|0.00|186.16|476.58|509.94|662.74|696.10|-206.96|
2451945|25492|2451949|8927|102395|1553493|1391|66089|66505|1123302|983|65681|74|1|9|4|44|5|94|66.79|165.63|66.25|9341.72|6227.50|6278.26|15569.22|560.47|0.00|2491.00|6227.50|6787.97|8718.50|9278.97|-50.76|
2451945|25492|2452018|5311|102395|1553493|1391|66089|66505|1123302|983|65681|1|21|14|5|203|5|37|16.03|20.67|0.62|741.85|22.94|593.11|764.79|0.00|0.00|367.04|22.94|22.94|389.98|389.98|-570.17|
2451945|25492|2452044|17091|102395|1553493|1391|66089|66505|1123302|983|65681|19|17|10|1|165|5|51|10.48|30.18|23.84|323.34|1215.84|534.48|1539.18|23.58|36.47|122.91|1179.37|1202.95|1302.28|1325.86|644.89|
2451945|25492|2452046|15711|102395|1553493|1391|66089|66505|1123302|983|65681|25|19|8|4|166|5|45|67.42|113.26|41.90|3211.20|1885.50|3033.90|5096.70|56.56|0.00|2497.05|1885.50|1942.06|4382.55|4439.11|-1148.40|
2451945|25492|2452060|165|102395|1553493|1391|66089|66505|1123302|983|65681|63|7|6|3|242|5|3|47.96|84.88|1.69|249.57|5.07|143.88|254.64|0.20|0.00|30.54|5.07|5.27|35.61|35.81|-138.81|
2451945|25492|2452065|11119|102395|1553493|1391|66089|66505|1123302|983|65681|41|13|2|4|292|5|71|68.25|152.19|4.56|10481.73|323.76|4845.75|10805.49|29.13|0.00|648.23|323.76|352.89|971.99|1001.12|-4521.99|
2451945|25492|2451997|2601|102395|1553493|1391|66089|66505|1123302|983|65681|59|3|7|2|146|5|57|25.26|42.18|2.53|2260.05|144.21|1439.82|2404.26|8.65|0.00|624.72|144.21|152.86|768.93|777.58|-1295.61|
2451945|25492|2451977|17165|102395|1553493|1391|66089|66505|1123302|983|65681|43|27|16|3|254|5|66|66.72|166.80|90.07|5064.18|5944.62|4403.52|11008.80|416.12|0.00|1651.32|5944.62|6360.74|7595.94|8012.06|1541.10|
2451945|25492|2452005|11571|102395|1553493|1391|66089|66505|1123302|983|65681|15|17|9|1|290|5|60|30.82|56.70|29.48|1633.20|1768.80|1849.20|3402.00|0.00|1715.73|475.80|53.07|53.07|528.87|528.87|-1796.13|
2451945|25492|2452002|22087|102395|1553493|1391|66089|66505|1123302|983|65681|35|21|7|1|172|5|13|19.64|34.17|17.76|213.33|230.88|255.32|444.21|6.92|0.00|75.40|230.88|237.80|306.28|313.20|-24.44|
2451945|25492|2451998|9465|102395|1553493|1391|66089|66505|1123302|983|65681|59|17|7|3|49|5|63|9.36|19.74|16.38|211.68|1031.94|589.68|1243.62|35.39|526.28|522.27|505.66|541.05|1027.93|1063.32|-84.02|
2451534|69300|2451633|14845|125701|202409|1164|55472|91718|215362|6843|53951|22|28|1|4|205|6|12|56.04|96.38|89.63|81.00|1075.56|672.48|1156.56|96.80|0.00|69.36|1075.56|1172.36|1144.92|1241.72|403.08|
2451534|69300|2451644|21703|125701|202409|1164|55472|91718|215362|6843|53951|40|25|10|4|14|6|73|36.58|41.70|35.44|456.98|2587.12|2670.34|3044.10|77.61|0.00|1247.57|2587.12|2664.73|3834.69|3912.30|-83.22|
2451534|69300|2451610|14134|125701|202409|1164|55472|91718|215362|6843|53951|70|28|10|5|115|6|91|48.63|65.16|3.25|5633.81|295.75|4425.33|5929.56|2.95|0.00|2489.76|295.75|298.70|2785.51|2788.46|-4129.58|
2451534|69300|2451651|11701|125701|202409|1164|55472|91718|215362|6843|53951|70|10|8|5|148|6|51|42.52|121.60|38.91|4217.19|1984.41|2168.52|6201.60|0.00|754.07|557.94|1230.34|1230.34|1788.28|1788.28|-938.18|
2451534|69300|2451639|23968|125701|202409|1164|55472|91718|215362|6843|53951|61|25|1|4|73|6|1|99.76|206.50|0.00|206.50|0.00|99.76|206.50|0.00|0.00|33.04|0.00|0.00|33.04|33.04|-99.76|
2451534|69300|2451583|12928|125701|202409|1164|55472|91718|215362|6843|53951|8|1|5|1|136|6|83|39.67|47.60|34.74|1067.38|2883.42|3292.61|3950.80|259.50|0.00|1026.71|2883.42|3142.92|3910.13|4169.63|-409.19|
2451534|69300|2451576|2338|125701|202409|1164|55472|91718|215362|6843|53951|40|13|5|3|207|6|63|97.02|121.27|103.07|1146.60|6493.41|6112.26|7640.01|12.98|6233.67|2597.49|259.74|272.72|2857.23|2870.21|-5852.52|
2451534|69300|2451604|21826|125701|202409|1164|55472|91718|215362|6843|53951|70|10|2|3|42|6|11|16.62|23.76|2.61|232.65|28.71|182.82|261.36|2.29|0.00|73.15|28.71|31.00|101.86|104.15|-154.11|
